dataset,subset,sample_id,elf_path,bin_path,gt_type,gt_level,gt_ref_files,trigger_inputs_count,trigger_inputs,notes,in_gt_backed_suite,has_sink_only_gt,negative_or_patched,has_stripped_peer,stripped_elf_path,stripped_origin
mesobench,D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples,contiki_cve_2020_12140_hello_world,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/contiki_cve_2020_12140_hello_world.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=contiki-ng(full_upstream_repo),false,false,false,false,,missing
mesobench,D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples,contiki_cve_2020_12141_snmp_server,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/contiki_cve_2020_12141_snmp_server.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=contiki-ng(full_upstream_repo),false,false,false,false,,missing
mesobench,D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples,contiki_halucinator_cve_2019_9183_hello_world,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/contiki_halucinator_cve_2019_9183_hello_world.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=contiki-ng(full_upstream_repo),false,false,false,false,,missing
mesobench,ARMCortex-M,stm32cube_lwip_tcp_echo_client,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_client/stm32_tcp_echo_client.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_client/stm32_tcp_echo_client.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/stm32cube_lwip_tcp_echo_client.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(full_upstream_repo),false,false,false,false,,missing
mesobench,ARMCortex-M,stm32cube_lwip_tcp_echo_server,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_server/stm32_tcp_echo_server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_server/stm32_tcp_echo_server.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/stm32cube_lwip_tcp_echo_server.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(full_upstream_repo),false,false,false,false,,missing
mesobench,ARMCortex-M,stm32cube_lwip_udp_echo_client,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_client/stm32_udp_echo_client.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_client/stm32_udp_echo_client.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/stm32cube_lwip_udp_echo_client.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(full_upstream_repo),false,false,false,false,,missing
mesobench,ARMCortex-M,stm32cube_lwip_udp_echo_server,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_server/stm32_udp_echo_server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_server/stm32_udp_echo_server.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/stm32cube_lwip_udp_echo_server.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(full_upstream_repo),false,false,false,false,,missing
mesobench,Ground-truth Benchmark/fw,usbs_tcp_echo_client_payload_len_variant,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one_test_payload_len/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one_test_payload_len/STM32469I_EVAL_tcp_echo_base.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/usbs_tcp_echo_client_payload_len_variant.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(upstream_base_plus_overlay),false,false,false,false,,missing
mesobench,Ground-truth Benchmark/fw,usbs_tcp_echo_client_vuln_bof,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/usbs_tcp_echo_client_vuln_bof.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(upstream_base_plus_overlay),false,false,false,false,,missing
mesobench,Ground-truth Benchmark/fw,usbs_tcp_echo_client_vuln_bof_dhcp,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.bin,artifact_gt_seed,L3,ground_truth_bundle/mesobench/README.md;ground_truth_bundle/mesobench/samples/usbs_tcp_echo_client_vuln_bof_dhcp.json;ground_truth_bundle/references/mesobench/README.md,0,,priority=high; role=primary_chain_driver; source=stm32cubef4(upstream_base_plus_overlay),false,false,false,false,,missing
