sample_id,dataset,priority,role,chain_depth,chain_breadth,expected_channel_mode,elf_path,bin_path,source_repo_id,source_repo_url,local_checkout,source_code_level,current_support_status,notes
contiki_cve_2020_12140_hello_world,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,Good mesobench seed: real stack behavior with moderate parsing depth and official Contiki sources.
contiki_cve_2020_12141_snmp_server,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,['Targeted GT: one representative copy chain rooted at buffer_str().']
contiki_halucinator_cve_2019_9183_hello_world,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,Useful as a Contiki negative/alternative CVE family with different parser shape than SNMP.
zephyr_cve_2020_10064,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10064/zephyr-CVE-2020-10064.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10064/zephyr-CVE-2020-10064.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Zephyr prebuilt CVE sample with realistic subsystem plumbing and official source availability.
zephyr_cve_2020_10065,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10065/zephyr-CVE-2020-10065.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10065/zephyr-CVE-2020-10065.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,high_value_gt_target,['Targeted GT: one representative copy chain in the real Zephyr source build; semantic CVE-specific ACL path still pending.']
zephyr_cve_2020_10066,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10066/zephyr-CVE-2020-10066.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10066/zephyr-CVE-2020-10066.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Complements 10064/10065 with a different Zephyr chain shape.
zephyr_cve_2021_3319,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3319/zephyr-CVE-2021-3319.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3319/zephyr-CVE-2021-3319.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Targeted GT now anchors the real rf2xx_trx_rx copy path from source code; current pipeline support is still partial.
zephyr_cve_2021_3320,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3320/zephyr-CVE-2021-3320.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3320/zephyr-CVE-2021-3320.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Use this and adjacent 2021 Zephyr samples as a batch for broader chain coverage without leaving one codebase.
zephyr_cve_2021_3321,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3321/zephyr-CVE-2021-3321.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3321/zephyr-CVE-2021-3321.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Another 2021 Zephyr parser/driver chain candidate; annotate only 1-3 representative paths first.
zephyr_cve_2021_3322,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3322/zephyr-CVE-2021-3322.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3322/zephyr-CVE-2021-3322.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,"Use together with the adjacent 2021 Zephyr set to test family-generalization, not only one-off heuristics."
zephyr_cve_2021_3323,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3323/zephyr-CVE-2021-3323.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3323/zephyr-CVE-2021-3323.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Expected to be useful for parser-object and derive/check calibration inside Zephyr.
zephyr_cve_2021_3329,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3329/zephyr-CVE-2021-3329.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3329/zephyr-CVE-2021-3329.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Broader horizontal coverage candidate; keep as a seed until exact source path is resolved.
