gt_kind,binary_stem,gt_source_id,gt_sink_id,label,pipeline_label_hint,function_name,address,address_hex,address_status,notes,source_file,map_file
sink,cve_2018_16525_freertos_dns,,S1,LENGTH_TRUST_SINK,STORE_SINK,prvProcessIPPacket,134218012,0x0800011c,resolved,trusted UDP length propagates unsafe size,cve_2018_16525_freertos_dns.c,cve_2018_16525_freertos_dns.map
sink,cve_2018_16525_freertos_dns,,S2,UNBOUNDED_WALK_SINK,LOOP_WRITE_SINK,prvSkipNameField,134217856,0x08000080,resolved,DNS name walk without bounds,cve_2018_16525_freertos_dns.c,cve_2018_16525_freertos_dns.map
sink,cve_2018_16525_freertos_dns,,S3,COPY_SINK,COPY_SINK,prvParseDNSReply,134217888,0x080000a0,resolved,memcpy with corrupted length,cve_2018_16525_freertos_dns.c,cve_2018_16525_freertos_dns.map
source,cve_2018_16525_freertos_dns,R1,,MMIO_READ,,ETH_ReadFrame,1073909760,0x40029000,resolved,ETH RX FIFO read,cve_2018_16525_freertos_dns.c,cve_2018_16525_freertos_dns.map
sink,cve_2020_10065_hci_spi,,S1,COPY_SINK,COPY_SINK,bt_spi_rx_thread,134217864,0x08000088,resolved,HCI EVT path overflow,cve_2020_10065_hci_spi.c,cve_2020_10065_hci_spi.map
sink,cve_2020_10065_hci_spi,,S2,COPY_SINK,COPY_SINK,bt_spi_rx_thread,134217864,0x08000088,resolved,HCI ACL path overflow,cve_2020_10065_hci_spi.c,cve_2020_10065_hci_spi.map
source,cve_2020_10065_hci_spi,R1,,MMIO_READ,,bt_spi_transceive,1073819660,0x4001300c,resolved,SPI1 data register read,cve_2020_10065_hci_spi.c,cve_2020_10065_hci_spi.map
sink,cve_2021_34259_usb_host,,S1,PARSING_OVERFLOW_SINK,STORE_SINK,USBH_ParseCfgDesc,134217912,0x080000b8,resolved,wTotalLength-driven overflow path,cve_2021_34259_usb_host.c,cve_2021_34259_usb_host.map
sink,cve_2021_34259_usb_host,,S2,PARSING_OVERFLOW_SINK,STORE_SINK,USBH_ParseInterfaceDesc,134217874,0x08000092,resolved,bNumEndpoints not clamped,cve_2021_34259_usb_host.c,cve_2021_34259_usb_host.map
sink,cve_2021_34259_usb_host,,S3,PARSING_OVERFLOW_SINK,STORE_SINK,USBH_ParseEPDesc,134217842,0x08000072,resolved,endpoint descriptor overflow path,cve_2021_34259_usb_host.c,cve_2021_34259_usb_host.map
source,cve_2021_34259_usb_host,R1,,MMIO_READ,,USB_ReadPacket,1342181376,0x50001000,resolved,USB FIFO read,cve_2021_34259_usb_host.c,cve_2021_34259_usb_host.map
sink,t0_copy_sink,,S1,COPY_SINK,COPY_SINK,handler,134217820,0x0800005c,resolved,memcpy with DR-controlled length,t0_copy_sink.c,t0_copy_sink.map
sink,t0_copy_sink,,S2,COPY_SINK,COPY_SINK,handle_name,134217876,0x08000094,resolved,strcpy unbounded copy,t0_copy_sink.c,t0_copy_sink.map
source,t0_copy_sink,R1,,MMIO_READ,,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_copy_sink.c,t0_copy_sink.map
source,t0_copy_sink,R2,,MMIO_READ,,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_copy_sink.c,t0_copy_sink.map
source,t0_dma_backed_buffer,R1,,DMA_BACKED_BUFFER,,dma_uart_rx_init,1073872896,0x40020000,resolved,DMA-backed RX buffer configured,t0_dma_backed_buffer.c,t0_dma_backed_buffer.map
sink,t0_dma_length_overflow,,S1,COPY_SINK,COPY_SINK,process_dma_data,134217852,0x0800007c,resolved,memcpy with DMA-controlled length,t0_dma_length_overflow.c,t0_dma_length_overflow.map
source,t0_dma_length_overflow,R1,,MMIO_READ,,main,1073872988,0x4002005c,resolved,DMA status/poll register read,t0_dma_length_overflow.c,t0_dma_length_overflow.map
