binary_stem,sample_id,family,label,pipeline_label_hint,function_name,address,address_hex,address_status,notes,source_file,map_file,binary_path,stripped_binary_path,gt_level
copy_variant_00,copy_variant_00,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_00.c,copy_variant_00.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_00.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_00_stripped.elf,L1
copy_variant_01,copy_variant_01,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_01.c,copy_variant_01.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_01.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_01_stripped.elf,L1
copy_variant_02,copy_variant_02,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_02.c,copy_variant_02.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_02.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_02_stripped.elf,L1
copy_variant_03,copy_variant_03,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_03.c,copy_variant_03.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_03.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_03_stripped.elf,L1
copy_variant_04,copy_variant_04,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_04.c,copy_variant_04.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_04.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_04_stripped.elf,L1
copy_variant_05,copy_variant_05,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_05.c,copy_variant_05.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_05.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_05_stripped.elf,L1
copy_variant_06,copy_variant_06,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_06.c,copy_variant_06.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_06.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_06_stripped.elf,L1
copy_variant_07,copy_variant_07,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_07.c,copy_variant_07.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_07.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_07_stripped.elf,L1
copy_variant_08,copy_variant_08,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_08.c,copy_variant_08.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_08.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_08_stripped.elf,L1
copy_variant_09,copy_variant_09,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_09.c,copy_variant_09.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_09.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_09_stripped.elf,L1
copy_variant_10,copy_variant_10,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_10.c,copy_variant_10.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_10.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_10_stripped.elf,L1
copy_variant_11,copy_variant_11,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_11.c,copy_variant_11.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_11.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_11_stripped.elf,L1
copy_variant_12,copy_variant_12,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_12.c,copy_variant_12.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_12.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_12_stripped.elf,L1
copy_variant_13,copy_variant_13,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_13.c,copy_variant_13.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_13.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_13_stripped.elf,L1
copy_variant_14,copy_variant_14,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_14.c,copy_variant_14.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_14.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_14_stripped.elf,L1
copy_variant_15,copy_variant_15,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_15.c,copy_variant_15.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_15.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_15_stripped.elf,L1
copy_variant_16,copy_variant_16,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_16.c,copy_variant_16.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_16.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_16_stripped.elf,L1
copy_variant_17,copy_variant_17,copy,COPY_SINK,COPY_SINK,copy_handler,134217794,0x08000042,resolved,Auto-generated copy sink variant,copy_variant_17.c,copy_variant_17.map,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_17.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/copy_variant_17_stripped.elf,L1
format_variant_00,format_variant_00,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_00.c,format_variant_00.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_00.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_00_stripped.elf,L1
format_variant_01,format_variant_01,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_01.c,format_variant_01.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_01.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_01_stripped.elf,L1
format_variant_02,format_variant_02,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_02.c,format_variant_02.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_02.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_02_stripped.elf,L1
format_variant_03,format_variant_03,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_03.c,format_variant_03.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_03.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_03_stripped.elf,L1
format_variant_04,format_variant_04,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_04.c,format_variant_04.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_04.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_04_stripped.elf,L1
format_variant_05,format_variant_05,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_05.c,format_variant_05.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_05.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_05_stripped.elf,L1
format_variant_06,format_variant_06,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_06.c,format_variant_06.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_06.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_06_stripped.elf,L1
format_variant_07,format_variant_07,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_07.c,format_variant_07.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_07.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_07_stripped.elf,L1
format_variant_08,format_variant_08,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_08.c,format_variant_08.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_08.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_08_stripped.elf,L1
format_variant_09,format_variant_09,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_09.c,format_variant_09.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_09.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_09_stripped.elf,L1
format_variant_10,format_variant_10,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_10.c,format_variant_10.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_10.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_10_stripped.elf,L1
format_variant_11,format_variant_11,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_11.c,format_variant_11.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_11.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_11_stripped.elf,L1
format_variant_12,format_variant_12,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_12.c,format_variant_12.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_12.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_12_stripped.elf,L1
format_variant_13,format_variant_13,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_13.c,format_variant_13.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_13.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_13_stripped.elf,L1
format_variant_14,format_variant_14,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_14.c,format_variant_14.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_14.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_14_stripped.elf,L1
format_variant_15,format_variant_15,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_15.c,format_variant_15.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_15.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_15_stripped.elf,L1
format_variant_16,format_variant_16,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_16.c,format_variant_16.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_16.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_16_stripped.elf,L1
format_variant_17,format_variant_17,format,FORMAT_STRING_SINK,FORMAT_STRING_SINK,log_message,134217796,0x08000044,resolved,Auto-generated format-string variant,format_variant_17.c,format_variant_17.map,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_17.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/format_variant_17_stripped.elf,L1
funcptr_variant_00,funcptr_variant_00,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217828,0x08000064,resolved,Auto-generated function-pointer variant,funcptr_variant_00.c,funcptr_variant_00.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_00.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_00_stripped.elf,L1
funcptr_variant_01,funcptr_variant_01,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217844,0x08000074,resolved,Auto-generated function-pointer variant,funcptr_variant_01.c,funcptr_variant_01.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_01.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_01_stripped.elf,L1
funcptr_variant_02,funcptr_variant_02,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217860,0x08000084,resolved,Auto-generated function-pointer variant,funcptr_variant_02.c,funcptr_variant_02.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_02.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_02_stripped.elf,L1
funcptr_variant_03,funcptr_variant_03,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217876,0x08000094,resolved,Auto-generated function-pointer variant,funcptr_variant_03.c,funcptr_variant_03.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_03.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_03_stripped.elf,L1
